probability,Predict,TRUE,id,Text
[0.36900714 0.6309929 ],1,0,s905545926965690368,. hurricane hunter plane flies through eye of powerful Hurricane #Irma. Watch  
[0.9976891  0.00231088],0,0,s899695655509164034,Trump Says ‘Too Bad’ After Crash of USS John McCain - RT and follow 
[6.4241979e-04 9.9935764e-01],1,0,s859425156749570051,"Family Meal Tip #: Prep ingredients for the week in advance. After you shop, cut up veggies &amp; refrigerate. "
[0.14465494 0.8553451 ],1,0,s899039657714962432,Column: What you don't know about the mechanics' strike may surprise you 
[0.99710387 0.00289607],0,0,s863074875099017216,"Meat Price Spreads data update: monthly average price values for beef, pork and broilers. "
[0.57908916 0.4209108 ],0,1,s13088864354,Debris spill on Merritt Pkwy/CT South approaching Exit - CT /Weston Rd (Westport) all lanes closed...
[2.8922686e-05 9.9997103e-01],1,0,s904389587178582016,Marni and everyone else at Parkwood once Beyoncé leaves looking a mess 
[0.0154449  0.98455507],1,2,s900321564037697537,"Cleared: Disabled vehicle in Orange on highway west at Exit SR-, left lane blocked. Last updated at ::48AM."
[0.16509824 0.8349018 ],1,0,s907945700138385408," Well said! Looking forward to our road trips being planned! 🚗Thank you so much, we are excited to f… "
[0.43505332 0.5649467 ],1,0,s901083157600063492,Workshop about the data and APIs of Elsevier #elsevierhacks #keepcoolandcode 
[0.11665321 0.8833468 ],1,1,s901036968053813249,Incident on #EssexLine at Summit and Maplewood train stations 
[0.8439722  0.15602787],0,0,s846820182010015744,"Great workout, Great lunch, now time for Great nap! Trifecta!"
[0.56957495 0.430425  ],0,1,s900466840715096064," West prior to /Lawrence, right lane crash, traffic is jammed from before , use caution"
[0.45339987 0.54660004],1,0,s902924169033261056,Team Member Highlight: Sana's Story #refugeeworkforce #laborshortagesolution… 
[0.00747046 0.9925296 ],1,0,s803438425730912257," Hi Caitlin, we're working on getting the site functioning properly as soon as possible. Stay tuned."
[0.925309   0.07469101],0,2,s900146344031125504,IH- WEST LOOP Southbound At FM-/WESTHEIMER RD - Accident - Status: Cleared at : PM
[0.27933887 0.72066104],1,0,s899991195568549888,They outside of planned parenthood holding up traffic talking about babies are murdered here. They need to mind their business 😭
[0.23078248 0.7692175 ],1,1,s900499658304303104,UPDATE: Turnpike Roadwork on Pennsylvania Turnpike highway southbound between Exit - highway/PA and Exit - highway/PA affecting any nu
[0.94780236 0.05219765],0,0,s907941041847795712,I've learned that something constructive comes from every defeat. - Tom Landry #quote  #KennethHolland 
[0.50259185 0.4974081 ],0,1,s5697592755,SB highway near Pueblo is closed from Eagleridge Blvd to 29th St due to an accident.
[0.14543465 0.8545653 ],1,0,s901793150758506496, Can you send your order and the issue you are having in a direct message so we can better assist y… 
[0.2814497  0.71855026],1,0,s902518894556000257,"King: Use funding from food stamps, Planned Parenthood to pay for border wall "
[0.03796081 0.9620392 ],1,1,s828817937020628993,Incident on #LLine Both directions from 1st Avenue Station to Bedford Avenue Station 
[0.03661084 0.96338916],1,0,s452109204573421568,Some independents eager to take bite out of Sysco 
[0.00144715 0.99855286],1,0,s900149986477920256,"The driver accused of t-boning a Bible camp-bound SUV, killing a pregnant mom and her kids, was charged today "
[0.5777433  0.42225662],0,0,s865570304625594368,Military Veterans have a unique skill set. That's why USDA’s goal is to have #Veterans make up % of its workforce. 
[0.98756707 0.01243294],0,0,s728301505183260673,Say that Senate leaders should stop hiding behind excuses and give Judge Garland a fair hearing: #DoYourJob
[0.6777553  0.32224464],0,2,s899336694188711938,TRAFFIC UPDATE: Hwy. reopened in both directions south of Madras after earlier serious-injury crash at Bear Drive.
[0.9943441  0.00565585],0,1,s894084029338791936,"Oklahoma County: I240 westbound at I35, non-injury accident, inside and center lanes blocked... CJE"
[6.8279725e-05 9.9993169e-01],1,0,s903223417314344960,"The Mercedes-Benz V-Class: Comfort, luxury, versatility, space – and a lot of fun to drive.
 📷 Julian Morris… "
[0.05800724 0.9419927 ],1,0,s903719074273918979, / Find Service Tag using this link: ^PL
[0.10677265 0.8932274 ],1,1,s900293806452604928,Turnpike Roadwork on Pennsylvania Turnpike highway all directions between Exit - highway/highway and Exit - highway affecting the shoulder
[0.43882892 0.5611711 ],1,2,s905502053610524673,Delays on Garden State Parkway northbound South of Exit - Watchung Avenue to Exit 153A - NJ  mile delay due to volume
[0.20878582 0.79121417],1,0,s611215188616957952,We welcome to their new offices at #OneWTC:world renowned company in a world renowned address via 
[0.35147378 0.6485262 ],1,2,s900006265161744386,"Cleared: Crash in Miami-Dade on highway south before Exit 1B highway/SW St/Brickell Ave, left lanes blocked. Last updated at ::20AM."
[9.9994195e-01 5.8081747e-05],0,1,s897019152946343936,Incident on #ELine Queens bound from Canal Street Station to 42nd Street-Port Authority Bus Station 
[0.04462386 0.9553762 ],1,0,s770985410507988992,Proud of  Better World Winners for their sustainable water practices #sw2ndnature 
[0.6181092  0.38189074],0,1,s893240067493216256,CRASH OCCURRED on S- - A CRASH OCCURRED APPX / MI. SOUTH OF HYSHAM ... 
[0.97395116 0.02604885],0,1,s900372786874593280,"Accident, shoulder blocked in #Miami on SR- Dolphin Expy WB approaching NW 37th Ave, slow traffic back to NW 12th Ave, delay of mins"
[0.01839035 0.98160964],1,2,s900537686292910080,Cleared: Special Event on #NJ179 SB at Hunterdon County Fairgrounds
[0.0283294  0.97167057],1,1,s664789859584892928,"Based on current forecast, be aware RT /the Notch #Stowe #VT MAY close Fri night/Sat morning due to snow. Stay tuned here for updates."
[0.4094156  0.59058434],1,2,s897481138691870720,"Cleared: Crash in Palm Beach on Jog Road south at Southern Blvd, left lane blocked. Last updated at ::45AM."
[0.01075918 0.9892408 ],1,2,s903724506031808516,COMPLETE highway MM . SB at highway / Westside All lanes slow &lt;= mins due to heavy traffic
[0.9763698  0.02363025],0,0,s897467282418544640,RC Excavating is widening roadway &amp; grading north of Florida Avenue. Kruczek is installing pipe underdrain just south of Capitol Drive.
[0.05533096 0.944669  ],1,0,s875262418892472320,"All the music, all the fun, all the witnessing x2! Paris &amp; Amsterdam, tix for new shows available now 🇫🇷❤️🇳🇱… "
[1.5135217e-04 9.9984860e-01],1,0,s857701173947662340,We were well represented last night at annual Banquet! Thank you for the wonderful time! #WeAre… 
[0.7359552  0.26404482],0,0,s788355006558765056," , we are sorry to hear that. Please tell us your country of residence we will contact you."
[0.04939553 0.95060444],1,0,s904389586616508420," I am yrs old and when I was a kid ,l remember watch stories of Hollywood actors during WW2,WHERE R PATRIOTS NOW.LIBCOWARDS"
[0.00363264 0.99636734],1,2,s903652936663879682,CLEARED: Roadwork on highway northbound between Exit - College St and Exit - PA .
[0.00720651 0.99279356],1,0,s773265812207591427,"Supporting farmers in India, Bolivia, Mexico, Bangladesh, Thailand #SDG #GlobalGoals "
[0.16127594 0.838724  ],1,1,s900364984303202306,"Disabled vehicle, right lane blocked in #Dallas on WB at 1st Ave, stop and go traffic back to Ferguson Rd, delay of mins #DFWTraffic"
[0.46843898 0.531561  ],1,0,s904420977425166336,Feelin' HP with the Adapt GTO Hyperskate | Video &amp; Review #stupidDOPE 
[0.36875153 0.6312484 ],1,2,s899774213506125824,CLEARED: VEHICLE DISABLED IN ROADWAY at S highway OUTER HY &amp; EXIT 10B SOUTH GASTONIA RA #CLT #CMPD_Freedom
[0.00135997 0.99864   ],1,0,s899700847872942081,Updated World Series Odds from Vegas: Los Angeles Dodgers remain the heavy favorite! 
[0.5905061 0.4094939],0,1,s893943228709441538,"New: Crash in Hillsborough on highway north ramp from Exit WB SR , left lane blocked. Last updated at..."
[0.00629151 0.9937085 ],1,1,s900167615108325376,"Accident, two lanes blocked in #Berkeley on highway EB at Ashby Ave, stopped traffic back to Foot Of The Maze, delay of mins #BayArea"
[7.963743e-04 9.992036e-01],1,1,s901093602549432322,Incident on #5Line from 42nd Street-Grand Central Station to Spring Street Station 
[0.02679766 0.97320235],1,2,s897939146831822850,Updated: Traffic congestion in Osceola on Floridas Turnpike south from before Exit Consulate Dr to ramp to...
[0.14211424 0.85788584],1,1,s902562376863625216,"RT highway, Mile Marker , , Winston-Salem, Forsyth, Vehicle Crash, Lane Closed, at / : AM #Triadroads"
[0.00158435 0.9984156 ],1,1,s897958465183854592,highway MM . WB at Meridian/ mile Left lane closed &lt;= mins due to construction work
[0.4044584  0.59554154],1,1,s904770474932150273,Incident on #161Bus EB at Broadway : Main Street 
[0.23740737 0.7625927 ],1,0,s900381125901725696,"Electrified railways in the South East (left), and in the North (right). From "
[0.57453644 0.42546356],0,1,s902495927369437185,Incident on #2Line SB from Prospect Avenue Station to 149th Street-Grand Concourse Station 
[9.9966836e-01 3.3159237e-04],0,1,s898614650173927424,brush fire: SB on highway at MM52 in Henrico Co. No lanes closed. Potential Delays.:36PM
[0.29839498 0.70160496],1,0,s903083033141448705," technical issues with the order, we can see what is causing the trouble and help you fix it.There is no restocking fee for the ()"
[1.562962e-04 9.998437e-01],1,0,s706925640281415680, That would be a question you would need to ask AMEX as they would have that information.
[0.91850775 0.0814923 ],0,0,s787253155566350336," when we made esters we had:
""Sick""
""Feet""
""Brandy""
""Grapes""
""Deep heat""
""Nail polish remover"""
[0.3852046 0.6147954],1,0,s903734991191986176,You have to see this! By far one of the coolest cars I have ever had in my garage!! 😂 thanks for sharing ❤️🙏
[0.02514244 0.9748575 ],1,0,s902599830660374532,Just updated my page: Mom on the Run Race Recaps. Amazing how much my race calendar has slow downed over the years! 
[0.04229833 0.95770174],1,1,s902180120559046657,Construction on #I190 NB at . miles before Exit (Witmer Road) 
[0.6213618  0.37863815],0,2,s883366786867089409,Cleared: Incident on #ELine Queens bound at Forest Hills-71st Avenue Station
[0.97386146 0.02613857],0,0,s162979857955946497,Member runs a small coffee shop and wonders if they have to provide a restroom for patrons by law? (Restaurant... 
[0.0358865  0.96411353],1,1,s903249164040937472,"Signal problems
 N at W Salt Lake Co.
Est. Clearance Time: : AM"
[0.989879   0.01012103],0,0,s908021655192195077,"I've done more homework in weeks, then I've done in years in high-school"
[0.00884568 0.9911543 ],1,2,s898743424290963457,"CLEARED: Earlier accident moved to the right shoulder in Montgomery Co., Rt. Northbound just before the PA Turnpike"
[0.11647311 0.8835269 ],1,1,s907952490699784192,Construction on #ElmStreet NB from START ROUTE Elm Street; Swan Street; NY to Genesee Street 
[0.10172138 0.89827865],1,0,s902893361828384768,i luv how the other departments always feed me : im always hungry.
[0.7767834  0.22321658],0,0,s903374414254886913,"David Clarke does not represent Wisconsin values.
"
[0.40338528 0.5966148 ],1,1,s904327574888878082,Incident on #I295 SB at North of Exit 26S - NJ /highway/highway 
[0.9969873  0.00301277],0,0,s886684651758264320," We don't blame you, MiracleBaby! We'll definitely let our Product Team know how much you miss Peanut Butter Cheerios. 😃"
[0.11468093 0.8853191 ],1,2,s904737490304716800,Cleared: Incident on #PortLine at Paterson Market Street Station
[0.36726537 0.63273466],1,1,s900984965973889024,"Updated: Crash in Duval on highway south before St Aug Rd, right lanes blocked. Last updated at ::09AM. "
[0.01544908 0.9845509 ],1,0,s899027666812059649,Wedding venue on Rocky Creek Road can no longer host events: 
[0.00857766 0.99142236],1,0,s883490968225304579,"Thanks for all the love on Deezer, ""Ni Tu Ni Yo"" is taking over Summer starting right here! 
 ” #NiTuNiYo"
[0.4544291  0.54557085],1,2,s901414366997884931,"CLEARED: Construction; highway NB, btwn mi N of Exit68 &amp; mi S of Exit77.| :01A"
[0.70663875 0.29336125],0,0,s879178507196268544,We’re back at  in Adelaide in as platinum sponsor. Come see us &amp; walk on Mars or fly an… 
[0.01973453 0.9802655 ],1,1,s901594032475910144,"Vehicle Fire on Southbound highway SB at WV .

 of southbound lanes are closed.

Use caution when traveling through this area."
[0.5755046 0.4244954],0,0,s843699300248961024, just can't wait till next Sunday 😞😞😞  #shadeofblue
[0.894269   0.10573095],0,1,s905741705139376129,UPDATE: Turnpike Roadwork on Pennsylvania Turnpike highway eastbound between Exit - PA /PA and Exit - PA /To highway affecting t
[0.9625468  0.03745315],0,1,s904626751275495424,Updated: Incident on #BM3Bus from Brooklyn to Manhattan 
[0.00189669 0.99810326],1,2,s902455040954310656,CLEARED: Roadwork on Nala Sopara Highway
[0.01811275 0.9818872 ],1,0,s907318189184483329, We're sorry to hear this! Can you DM us with your account information so we can help?
[0.6715575 0.3284425],0,1,s886501684901543936,"Updated: Planned construction in Charlotte on highway north before Thane Highway, right lane blocked. Last updated..."
[0.9965843  0.00341568],0,0,s879713248555216896,TIME Task Force - July Quarterly Meeting 
[0.59379774 0.40620232],0,2,s905254185976963073,Cleared: Incident on #I678 NB from Exit - South Service Road; North Service Road to Exit - Liberty Avenue
[0.47994947 0.52005047],1,0,s829347427601829892,FHFA extends deadline for public input on potential chattel loan pilot in Duty to Serve program:… 
[2.3971796e-04 9.9976033e-01],1,0,s855118759438299137,There are many reasons to attend #SelectUSASummit in June. Here are the top : #GrowWithUS17 
[0.01175091 0.98824906],1,2,s900869629287038976,"Crazy traffic out here in Montreal , glad my mother in law is ok ,, an in planned trip "
[0.79762757 0.2023724 ],0,2,s829887623334203393,Snoqualmie: Unpredictable weather patterns increase in temperature &amp; heavy rain has accelerated melting snow &amp; crea 
[0.99807596 0.00192407],0,1,s788734249499234304,US-16A: ROAD CLOSED btwn .Andheri and Bandra.
[0.05200255 0.9479975 ],1,0,s787030861724221441,Thanked &amp; Rwandan people for hosting #MOP28. We have an important opportunity in #Kigali to better the… 
[0.43346    0.56654006],1,0,s864863025010003968,How we're working w/ leaders in KY to make water #infrastructure improvements to serve local biz… 
